Gene,Frequency,Median_Rank
ISPD,5,1093
AC013565.3,5,1094
VWDE,5,1096
CDH20,5,1098
MT3,5,1098
AC106739.1,5,1099
AC243965.1,5,1100
LYPD6B,5,1101
AL356020.1,5,1106
NUP62CL,5,1107
TMEM52,5,1107
AC087500.1,5,1108
AL136038.5,5,1108
AC104590.1,5,1109
C7orf61,5,1109
CLHC1,5,1109
TRBJ2-5,5,1110
AC098850.3,5,1112
AP000424.2,5,1114
TRO,5,1114
MKRN3,5,1115
MMRN1,5,1115
SPDYE2B,5,1115
AC008878.3,5,1116
USP2-AS1,5,1116
XKRX,5,1116
AC026801.2,5,1117
AL355916.1,5,1118
AC073263.2,5,1119
HTRA4,5,1122
ZNF582-AS1,5,1122
LINC02470,5,1124
SLC24A3,5,1125
DDX11-AS1,5,1126
AC019129.2,5,1128
DNAJC5B,5,1129
AC007364.1,5,1130
AL133351.1,5,1130
AL445471.1,5,1130
PLIN5,5,1130
PSME1,5,1130
AFAP1L2,5,1132
NEURL2,5,1132
AC040977.1,5,1133
AC005154.6,5,1134
AC010198.1,5,1136
C2CD4A,5,1136
STX17-AS1,5,1136
LINC00471,5,1140
HRH4,5,1143
AL365232.1,5,1144
FAM66E,5,1144
AL136295.2,5,1146
HOXA4,5,1146
TMEM63C,5,1150
AC022395.1,5,1152
AC010491.1,5,1155
AL645568.1,5,1156
KDF1,5,1157
DOCK9-DT,5,1163
AC073073.2,5,1164
NLGN2,5,1165
XKR9,5,1166
IGLJ3,5,1169
ZNF286B,5,1169
AL353708.1,5,1170
SLC16A10,5,1173
AC092119.2,5,1174
ADAMTS13,5,1174
AC010894.2,5,1175
BLNK,5,1177
HIGD2B,5,1177
LINC02295,5,1179
AL157834.2,5,1180
ATP13A4,5,1180
AC004895.1,5,1182
HLA-G,5,1183
LIN7A,5,1183
AC008040.1,5,1185
LINC01772,5,1185
MMP24,5,1185
AL671710.1,5,1187
AC020558.1,5,1189
RPGRIP1L,5,1190
LINC01259,5,1191
AC079336.4,5,1195
AC105052.3,5,1197
ARG2,5,1198
PROCA1,5,1198
HSD17B6,5,1203
PCSK4,5,1205
UPB1,5,1205
ZNF835,5,1206
TCERG1L,5,1213
EXPH5,5,1218
PGK1,5,1218
USP3-AS1,5,1219
ATL1,5,1220
ZNF415,5,1220
NGFR,5,1221
NR3C2,5,1222
HIST1H3F,5,1226
SLC3A1,5,1227
AL513165.1,5,1228
C2,5,1228
DOK7,5,1228
AC087741.1,5,1229
ZMYND12,5,1231
FAM201A,5,1237
NME9,5,1238
BHLHE40-AS1,5,1244
C17orf100,5,1244
AC100835.1,5,1248
BTNL9,5,1250
KLRC4,5,1251
CDKN2B,5,1252
LNP1,5,1252
CD36,5,1254
HECW2,5,1254
AC011462.1,5,1255
BFSP1,5,1255
FRMD3,5,1256
LINC02413,5,1257
FAM167B,5,1258
ISL2,5,1258
AC062029.1,5,1261
CAND2,5,1262
AC055822.1,5,1263
TRPV1,5,1265
ESAM,5,1267
AC008622.2,5,1268
GPR27,5,1274
AC018653.3,5,1276
LGMN,5,1277
SLC6A3,5,1277
ANK1,5,1278
CCDC153,5,1278
ANKRD31,5,1280
IFT81,5,1282
AC116366.2,5,1285
ARMCX4,5,1285
AL162311.3,5,1286
KCP,5,1286
RAN,5,1286
AC011450.1,5,1289
TIAF1,5,1289
AC104958.2,5,1290
FAM229A,5,1290
HAVCR1,5,1290
MC1R,5,1290
AC009283.1,5,1291
AC092343.1,5,1292
AL024508.1,5,1297
HSF5,5,1301
WASF1,5,1303
CDKL3,5,1305
TFR2,5,1305
AC005332.8,5,1308
ELOB,5,1309
FRMD4A,5,1309
RBM11,5,1309
SERPINA11,5,1309
AC090948.1,5,1310
RAB38,5,1310
PNPLA7,5,1311
AC015802.4,5,1313
AL359504.2,5,1314
ERFE,5,1314
GREM2,5,1314
NEB,5,1314
RRM2,5,1314
KRTCAP3,5,1316
ZNF501,5,1316
SEMA6A-AS1,5,1318
TSNAX-DISC1,5,1318
RGMA,5,1319
AC016027.1,5,1320
TRBJ2-4,5,1320
MAGEE1,5,1321
WNT2B,5,1321
C20orf144,5,1322
ZNF436-AS1,5,1322
AC024257.3,5,1325
FITM1,5,1325
LINC00544,5,1330
TMEM17,5,1330
OSR2,5,1331
AC005726.2,5,1337
PALLD,5,1337
ZNF497,5,1340
AC011466.1,5,1343
PSD,5,1344
C1QTNF12,5,1348
AC108471.2,5,1349
TRGC2,5,1349
FAM95C,5,1350
FOXD1,5,1350
PLGLB1,5,1350
AC113382.1,5,1354
AL590560.2,5,1355
CD81-AS1,5,1355
AC104118.1,5,1356
AL136368.1,5,1356
AL137779.2,5,1358
LINC01135,5,1361
HOXC5,5,1365
STKLD1,5,1365
AL031600.1,5,1366
LRRC3,5,1367
AL513314.2,5,1368
ERRFI1,5,1368
PHOSPHO1,5,1368
MAFA,5,1372
AL031775.1,5,1373
Z83847.1,5,1374
AC010834.2,5,1377
AC099552.1,5,1377
AC016596.1,5,1380
WDR63,5,1381
AC023157.3,5,1386
AC120053.1,5,1387
TBXA2R,5,1388
AC139720.1,5,1389
AC112236.2,5,1390
AC096734.2,5,1391
KCNJ2,5,1397
MYO3B,5,1397
AL139317.3,5,1399
SAMHD1,5,1399
GPR63,5,1403
AL161756.1,5,1404
AL645608.2,5,1404
PRKCH,5,1405
AC026304.1,5,1406
AC005332.3,5,1407
AC105760.2,5,1409
SLC38A3,5,1409
HCN2,5,1410
CDKL2,5,1411
CNR2,5,1411
ATP6V0C,5,1412
AC005480.1,5,1416
AC107068.1,5,1417
LPP-AS2,5,1418
AC068473.5,5,1421
AC109460.1,5,1421
AL158850.1,5,1421
AP000977.1,5,1422
LANCL3,5,1425
PDLIM4,5,1426
LINC00167,5,1428
GLTPD2,5,1429
VSIG8,5,1437
AC069287.2,5,1438
FOXP1,5,1438
AC012447.1,5,1439
PRICKLE1,5,1440
ZNF485,5,1440
EFNA5,5,1441
AASS,5,1442
DENND2C,5,1443
TP63,5,1443
ZSCAN20,5,1443
ERVMER61-1,5,1444
AL592166.1,5,1446
TLR10,5,1448
NUMBL,5,1450
NHLRC4,5,1452
AC012360.1,5,1456
CP,5,1457
AC022113.2,5,1459
AC022762.2,5,1459
SOX13,5,1459
ST6GALNAC3,5,1462
EIF4A3,5,1464
IL12RB2,5,1464
AF129075.2,5,1467
ZNF284,5,1468
SERP2,5,1469
SLC17A3,5,1473
RAD21-AS1,5,1475
AC068338.3,5,1476
RAB23,5,1476
AK5,5,1479
C21orf62-AS1,5,1479
B3GNT9,5,1480
AL109811.2,5,1482
SLC9B1,5,1482
ANKRD9,5,1483
KLRC4-KLRK1,5,1483
AC091965.1,5,1484
CLBA1,5,1485
PLPP6,5,1485
AL355816.2,5,1489
LINC00494,5,1489
C4BPB,5,1490
C7orf57,5,1490
MUC12,5,1491
CD96,5,1492
ZNF470,5,1493
AL135744.1,5,1494
AL391069.1,5,1495
AJUBA,5,1496
NANOS3,5,1499
TSPO,5,1499
AL031772.1,5,1502
GPRASP1,5,1504
AC017083.3,5,1506
RGPD1,5,1506
ATP5ME,5,1511
GPLD1,5,1511
PKIG,5,1512
ZNF483,5,1516
ADAM12,5,1518
PDIA3,5,1521
SNPH,5,1521
AC091057.2,5,1525
RNF215,5,1525
AC069431.1,5,1528
BCL2L11,5,1529
SYNM,5,1529
AL691403.2,5,1530
MIR181A2HG,5,1530
TMEM56,5,1530
EDA,5,1533
WWTR1,5,1533
OBSCN-AS1,5,1535
ASXL2,5,1539
USP27X,5,1541
AC114490.3,5,1542
SKIL,5,1544
AL390957.1,5,1545
CBLB,5,1549
CCDC136,5,1551
JAG2,5,1553
LRRC49,5,1554
CCDC171,5,1555
FAM171A1,5,1556
AL365275.1,5,1557
GRAMD1C,5,1561
TTC30B,5,1563
FNDC4,5,1564
PLCG2,5,1565
DLK2,5,1570
FIGNL2,5,1574
RFESD,5,1574
AC138035.1,5,1577
ZC3H6,5,1580
AC004817.3,5,1581
NUSAP1,5,1583
PGAP1,5,1588
EPB41L4A,5,1589
ZNF426-DT,5,1590
AC084337.2,5,1594
ATP6V1C2,5,1596
RSPH4A,5,1597
FAT4,5,1600
ANKRD20A4,5,1606
ZNF320,5,1606
NSG1,5,1607
ZCCHC18,5,1607
AL356441.1,5,1608
CR1,5,1608
HACD1,5,1611
AEBP1,5,1613
CALCB,5,1616
SEMA6C,5,1616
RN7SL832P,5,1617
DENND6A-DT,5,1618
TLR3,5,1618
FLT3LG,5,1621
NRG2,5,1622
NEIL1,5,1623
GHRLOS,5,1629
AC022075.1,5,1630
ATP8A1,5,1634
LRRN1,5,1634
CSGALNACT1,5,1635
AC004687.1,5,1637
AC011921.1,5,1637
BX255925.3,5,1639
AC114763.1,5,1641
AL136040.1,5,1643
AL353593.2,5,1644
ANGPT2,5,1644
CLDN12,5,1644
SLC26A1,5,1644
AL121658.1,5,1645
PODXL,5,1647
AL158834.1,5,1648
RCAN3,5,1652
COLQ,5,1653
ZC3HAV1,5,1656
CATSPER2,5,1659
AC079610.1,5,1660
IFNG-AS1,5,1660
EIF5,5,1661
PLA2G1B,5,1661
TRGV5P,5,1663
DPP4,5,1666
AL445686.2,5,1667
CMSS1,5,1667
PPAN-P2RY11,5,1667
AC087623.3,5,1669
PTPN6,5,1677
FAM66C,5,1678
B3GNT10,5,1682
KLHL3,5,1685
CACNA1C-AS1,5,1686
AP3M2,5,1688
AC013400.1,5,1692
AP000866.5,5,1694
GPX4,5,1697
NKD1,5,1697
OLMALINC,5,1699
ADAMTSL5,5,1708
XXYLT1-AS2,5,1708
AL034417.3,5,1710
NLRP3,5,1712
AXIN2,5,1715
TMEM30B,5,1715
ZNF74,5,1729
AC004982.2,5,1737
ZNF571,5,1747
AP005329.3,5,1750
RDH10,5,1753
FAM84B,5,1754
HIC1,5,1761
SLC35G1,5,1762
TET1,5,1774
P2RY10,5,1775
SLC25A4,5,1780
AL049780.2,5,1781
ADAMTS6,5,1782
NTN4,5,1792
IGHV1-45,5,1795
AC011468.5,5,1797
DDX3Y,5,1802
NBL1,5,1802
RALGAPA1,5,1803
AC233723.1,5,1805
AC093668.3,5,1808
GPA33,5,1810
LRRC43,5,1817
RGPD5,5,1831
AC123768.3,5,1833
GIMAP5,5,1833
ITIH4,5,1839
SLC12A5,5,1861
PCSK6,5,1862
RAB8B,5,1868
LINC01132,5,1869
PTGER2,5,1885
FAM69B,5,1889
HDAC11-AS1,5,1892
AL450992.2,5,1900
IL21R,5,1910
SIPA1L2,5,1912
AC010969.2,5,1917
CCR2,5,1926
CHST2,5,1949
IGLV1-36,4,71
TPSB2,4,88
CPA3,4,109.5
IGLV3-16,4,134
IGKV3D-11,4,138.5
TPSD1,4,142
IGLV5-52,4,216
IGKV2D-24,4,226.5
CCL7,4,272.5
CDO1,4,307
SRGN,4,309.5
MT-ND1,4,314.5
FN1,4,353.5
AL603756.1,4,359.5
TCL1B,4,375.5
AC084036.1,4,381
MARCO,4,403
FABP3,4,413.5
TMSB10,4,414
AL035563.1,4,451
PFDN5,4,451.5
CABYR,4,461.5
ACOD1,4,464
CLEC3B,4,464
PIR,4,488
AC246787.2,4,503
H3F3A,4,516
AC073957.3,4,517.5
TMEM232,4,520
RND2,4,520.5
AL035252.3,4,530.5
C1orf220,4,549
FST,4,554
AC022400.7,4,556
SPRED3,4,558
PNMA3,4,568
TP53TG3D,4,573.5
AC005920.1,4,583.5
AL162586.1,4,589
TMEM255A,4,589.5
AC008551.1,4,595
LINC00309,4,596
IRF6,4,598.5
ODAPH,4,598.5
CYP51A1-AS1,4,599.5
AL096677.1,4,601.5
PACSIN1,4,608.5
CENPI,4,616.5
CFAP53,4,617
AC079305.1,4,618
LILRB5,4,619
AL355987.3,4,619.5
POF1B,4,624
CALM1,4,631
ADH1C,4,633.5
AC007349.2,4,637
SLC52A1,4,645.5
CACNA1A,4,646
WSCD2,4,648
AC008467.1,4,648.5
TNFRSF19,4,649
ARHGEF10,4,650.5
TRDJ1,4,651.5
AC103831.1,4,654.5
TAS2R4,4,655
VWCE,4,656
KLRF2,4,660.5
MYO5B,4,661.5
SHISA8,4,664
LRRC24,4,665.5
NLGN3,4,670
TRAJ39,4,670
H3F3C,4,671
AL391684.1,4,671.5
AC011481.2,4,675
NPAS1,4,676.5
HRH2,4,678.5
AC032044.1,4,679.5
F3,4,679.5
OMD,4,681.5
AC091551.1,4,688.5
C10orf25,4,694.5
FGF14-AS2,4,695.5
TMEM81,4,696
RAPGEFL1,4,699.5
AC008655.2,4,700.5
MYO7B,4,700.5
CD180,4,703.5
LINC00624,4,704
LINC02158,4,705
AP001893.1,4,706.5
LRRC75B,4,706.5
ISM1,4,712
AC021097.1,4,712.5
ADARB2,4,716.5
DNAH10,4,717
SLC18A2,4,720.5
AL133342.1,4,721.5
LZTS1,4,721.5
AC068491.3,4,723
TSACC,4,724.5
RFTN2,4,733.5
AC006042.4,4,735.5
PHETA2,4,740.5
ELAVL4,4,741
GSTA2,4,742
MYO16,4,744.5
FAM53A,4,747.5
AC090948.2,4,748
RNASEH2B-AS1,4,750
AC009948.4,4,754
AC068888.1,4,754
CPNE7,4,754.5
AL512625.1,4,755
AC008629.1,4,756
TRAJ22,4,757
ADH4,4,759
SPTBN4,4,759
CA10,4,760.5
AC035140.1,4,765.5
LMO7-AS1,4,767.5
CCL22,4,770
PON3,4,772.5
IGKV3-7,4,776
AC139887.1,4,778
PRSS27,4,779
VPS13A-AS1,4,780
CERKL,4,781
AC020910.4,4,781.5
AL358790.1,4,781.5
PLAT,4,783.5
ARHGDIB,4,787
NPB,4,787
AC103724.4,4,787.5
AL139352.1,4,789
MARCH10,4,791
FGFR2,4,791.5
AC084824.5,4,792.5
TNS2,4,799.5
AC024060.1,4,800
AC005253.2,4,806
VPS37D,4,806
AC007495.1,4,808
AL137003.2,4,809
MT-ATP6,4,812.5
NACA,4,817.5
AC127024.5,4,823.5
AL590006.1,4,825
MAP1B,4,826.5
SCAANT1,4,828
CORO2B,4,828.5
CXXC4,4,828.5
AL512353.1,4,829
JCAD,4,830
CEMP1,4,831.5
ZFHX2,4,832.5
TMEM86B,4,834
B4GALT6,4,834.5
AC004771.1,4,838.5
RNF175,4,840.5
ADGRB2,4,841
ELN-AS1,4,841.5
AC093274.1,4,842
ORM2,4,843.5
AC239800.2,4,845
C9orf66,4,847.5
LINC01376,4,847.5
AC010175.1,4,851
AC092849.1,4,855.5
RHBDL1,4,857.5
NR1H3,4,858
AC093484.2,4,861
AL355076.2,4,862.5
CYP7B1,4,864
KLHL7-DT,4,866
RYR2,4,867
COL6A1,4,873
MEF2B,4,873
AC073655.2,4,873.5
AC090061.1,4,873.5
ACSM1,4,874
CU638689.5,4,875.5
USP12-AS2,4,877
NPIPB2,4,879
TEX22,4,883
CAVIN1,4,885
NXPH4,4,891.5
AC036103.1,4,893
IGHV1-17,4,893.5
ZC3H11B,4,895
TMA7,4,897.5
HMGN3-AS1,4,899
NECTIN3-AS1,4,899.5
TRARG1,4,901
RPA4,4,903
PRG4,4,906
KIF9-AS1,4,906.5
SON,4,909
HIST1H4E,4,910
VSIG4,4,910
MUC16,4,911
FAM19A1,4,913
PXDN,4,915.5
PLS1,4,918
ZNF730,4,918
MYH3,4,918.5
PRICKLE2,4,920
AL049712.1,4,922
ITGA2,4,922
AL928654.3,4,924.5
MMP15,4,925.5
LINC01970,4,927.5
NETO1,4,929
PLTP,4,930
TRAJ10,4,930
CFAP73,4,932.5
CCDC168,4,936
AL136962.1,4,939
CTAG2,4,939.5
AC010280.2,4,940
UCN,4,941
CAVIN2,4,941.5
CPAMD8,4,942
NMNAT3,4,942
ARHGEF35,4,943
C22orf15,4,943
AC007950.2,4,944
TRBJ2-6,4,945.5
RIMKLA,4,946
AL356488.2,4,946.5
LINC02528,4,947
MT1M,4,947
AF129408.1,4,950.5
PRR34,4,950.5
CATSPERE,4,951
YY2,4,951
RBMS3,4,952.5
FAM86B1,4,954.5
P2RY6,4,955
AL157912.1,4,955.5
RHOA,4,957.5
SPIN3,4,957.5
TRAJ4,4,958
GRPEL2-AS1,4,959
ASIC1,4,961.5
ATP5F1E,4,963
AC009118.2,4,963.5
AC011498.1,4,964
HSPE1-MOB4,4,965
AC012313.7,4,965.5
FRMD6-AS1,4,966.5
GPER1,4,967
CHRFAM7A,4,969
AL683807.1,4,970.5
SKAP1,4,970.5
AC018690.1,4,972.5
LOH12CR2,4,974
PLA2G4B,4,974
LINC01560,4,977
LRRC69,4,978
PRX,4,979.5
ZBED6CL,4,980
CLCN4,4,980.5
AC079089.1,4,981.5
C9orf41-AS1,4,985.5
LINC01410,4,985.5
MPPED2,4,986.5
AC005224.1,4,987
EFR3B,4,987
CCR10,4,990
ZNF710-AS1,4,990.5
AC008763.1,4,994
AC004556.1,4,995
DNAH10OS,4,995
FAM234B,4,997
AGXT,4,998
SLC16A14,4,1002.5
AP001160.2,4,1004.5
ANKRD20A3,4,1005.5
CLTRN,4,1008
SPINT1-AS1,4,1008
THNSL2,4,1008
SVOPL,4,1008.5
TCFL5,4,1008.5
ERICH6,4,1011.5
CITED1,4,1012
LMOD3,4,1013
CHAC1,4,1014.5
CASC1,4,1017.5
CTRC,4,1018.5
ARHGAP6,4,1019
AL034397.3,4,1019.5
LGALS9B,4,1022
AL157392.5,4,1022.5
LINC01521,4,1024
SYT1,4,1024.5
PEAK3,4,1026
ZNF625-ZNF20,4,1026
AF001548.2,4,1027.5
AC008033.3,4,1028.5
SYCE3,4,1031.5
AC025283.2,4,1033.5
TRIM16L,4,1033.5
AL359541.1,4,1034.5
KCNMB3,4,1034.5
ATP1B2,4,1036.5
FHDC1,4,1037
AL031590.1,4,1037.5
ORM1,4,1038.5
AL121787.1,4,1039
AP000547.3,4,1039.5
AC008687.4,4,1041
AC084024.3,4,1043.5
DNAI2,4,1043.5
AL357153.1,4,1044
DIAPH2-AS1,4,1048
ZNF837,4,1049.5
GAPT,4,1050
AL627171.2,4,1051
AL137002.2,4,1052.5
AC022144.1,4,1054.5
AL592148.3,4,1054.5
AL596325.1,4,1055.5
HIST1H4L,4,1055.5
EGFL6,4,1057
PPARG,4,1057
OSCP1,4,1057.5
OAZ1,4,1059.5
PCDHGA10,4,1061
SLC25A27,4,1061
AC092634.3,4,1062
AL049870.3,4,1062
AC083862.2,4,1062.5
AC027682.2,4,1063
KLHL34,4,1063.5
AP000692.2,4,1064.5
KCNA2,4,1065
LINC02161,4,1065
FKBP10,4,1065.5
MYO1H,4,1066
TMEM254-AS1,4,1066
C2CD4B,4,1066.5
AC138028.2,4,1067
AL160291.1,4,1067
KLHL35,4,1067
AFF2,4,1067.5
PAQR7,4,1068
LINC00659,4,1069
AC098650.1,4,1070
AC104389.4,4,1070.5
TYMP,4,1070.5
CAGE1,4,1071.5
AC015936.1,4,1073
AC020571.1,4,1073
DPH6-DT,4,1073.5
ZNF788P,4,1076.5
Z97832.2,4,1077
TAL2,4,1077.5
AC010978.1,4,1078.5
AC012467.2,4,1079
HCG25,4,1079
AC016394.2,4,1082
GNRH1,4,1082
CDC42BPG,4,1082.5
TULP2,4,1083.5
AC104806.2,4,1084
EDN1,4,1085.5
KATNAL2,4,1086.5
AP003352.1,4,1087
AP002986.1,4,1088.5
NUPR1,4,1089
LINC02265,4,1090.5
RNF103-CHMP3,4,1091
ADAMTS4,4,1092.5
ACHE,4,1095.5
RASEF,4,1095.5
MMP23B,4,1096
RAB36,4,1097.5
PEX11A,4,1100
AC096992.2,4,1100.5
LINC00266-1,4,1101.5
AL359076.1,4,1102
ASMT,4,1102
CPA6,4,1103
MYO15A,4,1105
AL157902.1,4,1106
ANKRD24,4,1106
TRAJ13,4,1108
FHAD1,4,1109
SOWAHC,4,1109
SLC34A1,4,1109.5
CD1E,4,1111
AP001505.1,4,1112.5
TLE2,4,1112.5
RBM39,4,1114.5
AC245140.3,4,1115.5
TRBJ1-4,4,1118
AL358781.1,4,1119
CFAP43,4,1120.5
AC009133.4,4,1122.5
KYNU,4,1123
BMP2,4,1123.5
AL928742.1,4,1124
AC005363.2,4,1125.5
AC009133.2,4,1125.5
AC087286.3,4,1125.5
TEX28,4,1126
PDLIM1,4,1128
AC009041.1,4,1128.5
LOXL1,4,1129
AC016999.1,4,1131.5
INHBA,4,1132
TSPAN7,4,1133
MRGPRX2,4,1133.5
PYCARD-AS1,4,1135
AC006042.2,4,1135.5
ADD2,4,1135.5
STK4-AS1,4,1135.5
AC012485.3,4,1136
SOD2-OT1,4,1136
PAXX,4,1137
AC108488.1,4,1137.5
PIFO,4,1137.5
TMEM163,4,1138.5
COX5B,4,1139.5
LINC00598,4,1139.5
AL136373.1,4,1141
CHKB-CPT1B,4,1142
ATP1B3-AS1,4,1142.5
AC245128.3,4,1143.5
AC012313.1,4,1144
C20orf197,4,1144
AC073869.5,4,1146.5
RTCA-AS1,4,1146.5
AC064836.3,4,1147
AC093297.2,4,1147
PLEKHH3,4,1147
AP001432.1,4,1148
ADRB1,4,1148.5
CLEC20A,4,1149
WLS,4,1149
LINC01792,4,1150
GPR146,4,1150.5
LINC02520,4,1150.5
AC008760.1,4,1153.5
LINC01063,4,1158.5
SMIM10,4,1160
GAL3ST4,4,1161.5
BDNF-AS,4,1162.5
AC103736.1,4,1166.5
SATB2,4,1167.5
ABCG2,4,1168.5
AL121917.1,4,1168.5
ESPN,4,1169
CKLF-CMTM1,4,1169.5
MERTK,4,1170
SERINC4,4,1170.5
OOEP,4,1171.5
AC009950.1,4,1173.5
DNMT3B,4,1173.5
LINC01505,4,1175.5
RRS1-AS1,4,1175.5
LINC01694,4,1176
RGS13,4,1176.5
AC093673.1,4,1177
TSC22D1-AS1,4,1177
HIST3H2BB,4,1179
AC079834.2,4,1179.5
AC240274.1,4,1179.5
COX7A2,4,1180
AC007405.3,4,1181.5
EBLN2,4,1182
AL160006.1,4,1182.5
AL138781.1,4,1183.5
TMPRSS3,4,1184
CCDC191,4,1186
ZSCAN31,4,1187.5
AC007285.1,4,1188
LINC02325,4,1188
GNG4,4,1189
SMIM18,4,1189.5
AC093827.4,4,1191.5
FAM110C,4,1191.5
AC009041.2,4,1192
AC012557.2,4,1192
AC006033.2,4,1192.5
HIST1H3C,4,1193
RGPD4,4,1193
AC008378.1,4,1193.5
CMKLR1,4,1194
DTX4,4,1194.5
AL121928.1,4,1195.5
HPDL,4,1197.5
TTC8,4,1197.5
AC130324.3,4,1198.5
AC100793.2,4,1199
POU5F2,4,1199
PRR29-AS1,4,1199
COL11A2,4,1201
LRRC75A,4,1201.5
DNAH6,4,1203
AC136475.2,4,1203.5
MEX3A,4,1204.5
BBC3,4,1205
CBLN3,4,1205
NPDC1,4,1205
AC083843.3,4,1206.5
LOXL2,4,1208
AMN,4,1208.5
PTGES,4,1208.5
EEF1D,4,1209
AC025178.1,4,1210.5
DRAXIN,4,1211
PRR22,4,1211
SCN1B,4,1212
TAGLN,4,1212
AC109322.1,4,1216.5
INPP5A,4,1217
PRRT2,4,1217.5
PFKFB2,4,1218
AC135507.1,4,1218.5
HRK,4,1220.5
NME8,4,1220.5
AP003680.1,4,1221
TLDC2,4,1223
CAV1,4,1224.5
AL441883.1,4,1225
TRAJ40,4,1225
FZD6,4,1227
WDR11-AS1,4,1227
SLC44A3,4,1227.5
AC093462.1,4,1228
PKHD1L1,4,1228
DARS-AS1,4,1230.5
CCDC42,4,1231.5
CACNB2,4,1233.5
GHET1,4,1234.5
AL135791.1,4,1235
MAPK8IP1,4,1235.5
SRPX,4,1236.5
EIF4A1,4,1237
PTCH1,4,1238
AC005288.1,4,1241.5
CCND1,4,1241.5
C8orf37,4,1242.5
PTGIS,4,1242.5
COX8A,4,1243
SOWAHD,4,1243.5
IL2RG,4,1244
AC079848.1,4,1245
AC021752.1,4,1246
KIRREL2,4,1248
RHOC,4,1248
AC020922.4,4,1250
AL355353.1,4,1250.5
PSMA7,4,1251
NUDT12,4,1252
BX293535.1,4,1252.5
MYO7A,4,1252.5
RTN4R,4,1252.5
MIR4422HG,4,1254.5
C2CD4C,4,1256
CAMSAP3,4,1256
NIPAL1,4,1257
HIGD2A,4,1257.5
CFAP70,4,1259
KCNC4,4,1259
KIAA1841,4,1259.5
RAMP3,4,1259.5
AC124016.2,4,1260
AHSP,4,1267.5
INKA1,4,1268
AC104024.1,4,1268.5
ANKDD1A,4,1269
HOXB9,4,1269
BMP1,4,1269.5
LHFPL6,4,1270
MALINC1,4,1270
S100A5,4,1270
ZBTB47,4,1272
GOLM1,4,1272.5
GPR12,4,1273
TTC34,4,1273
AC008937.2,4,1273.5
AC004951.1,4,1276
LRRC46,4,1276
OSR1,4,1276.5
SLC16A2,4,1276.5
AC108718.1,4,1278
SCART1,4,1280.5
TRIM17,4,1280.5
ZNF396,4,1282
NRAV,4,1283
AC123768.2,4,1286
AC146944.4,4,1286
TCEA3,4,1286
TMEM45B,4,1286
CPNE5,4,1286.5
GNMT,4,1286.5
STPG2,4,1286.5
AC007249.2,4,1287
CHI3L2,4,1289.5
LINC02175,4,1290
DLEC1,4,1292.5
AC021028.1,4,1293
P2RY14,4,1293
ZNF667,4,1294
FZD5,4,1295
FBLN5,4,1295.5
FAM66B,4,1298
HMGN1,4,1298
AC245452.1,4,1299.5
LCP2,4,1301.5
ZNF300,4,1301.5
HNRNPK,4,1304.5
ZNF502,4,1304.5
RBM14-RBM4,4,1305
AC018410.1,4,1306
AL355472.4,4,1306
SIX5,4,1306.5
AC136475.3,4,1309
FUT8-AS1,4,1309
GSTK1,4,1310
AC254633.1,4,1312.5
NDUFB2,4,1314
SPON1,4,1314
MORC2-AS1,4,1314.5
AL161772.1,4,1315
TEAD3,4,1316
TMEM231,4,1316
C1QTNF6,4,1316.5
AC007881.3,4,1317
PIANP,4,1319
HOXC4,4,1320
LHFPL1,4,1320.5
FAM215B,4,1323.5
ZBTB42,4,1323.5
CD53,4,1324
ENPP1,4,1326
ANKDD1B,4,1328
CAPN3,4,1328
SLC2A5,4,1328.5
AC008750.2,4,1330
SAMD12-AS1,4,1330.5
DMXL2,4,1333
AC106795.2,4,1334.5
STK36,4,1334.5
LBX2,4,1336
CBR3,4,1337
CENPE,4,1337
AC004253.1,4,1337.5
TMEM44,4,1338.5
AC009630.3,4,1339.5
SYNGR1,4,1340
AP001059.3,4,1341
HIST1H4D,4,1341
RNF144B,4,1341.5
CLMN,4,1343
SP6,4,1343.5
DMKN,4,1344
TSPAN6,4,1344
AP000786.1,4,1344.5
MADCAM1,4,1344.5
TM4SF19-AS1,4,1349
AL161457.2,4,1349.5
NUCB1-AS1,4,1350
NANOS1,4,1351.5
RGS9,4,1353
PRKN,4,1353.5
TBCE-1,4,1353.5
AC091180.2,4,1354.5
ACKR2,4,1356
AL359921.2,4,1358
HNRNPC,4,1358
TRAF3IP3,4,1358
ANKRD35,4,1358.5
AGAP9,4,1359
AL031670.1,4,1363.5
DNAAF4,4,1363.5
FGF11,4,1364
SLC16A13,4,1364.5
EMID1,4,1365.5
AC079922.2,4,1366.5
LEPR,4,1369
C5orf17,4,1370
TRIM36,4,1370
AL121748.1,4,1370.5
SAXO2,4,1370.5
UNC13B,4,1371
LINC00271,4,1374
SERHL2,4,1374.5
C10orf91,4,1376.5
ZNF19,4,1376.5
HNRNPA3,4,1377
ABI3,4,1378
CAHM,4,1378
AC005034.3,4,1379
AC010531.6,4,1379
PKM,4,1379.5
AC009318.1,4,1382.5
AC068051.1,4,1383
NDUFA4,4,1383
AC008691.1,4,1383.5
FAM83F,4,1386.5
AP001267.3,4,1388
RAB9B,4,1388.5
MOXD1,4,1389.5
LINC01431,4,1392.5
USP49,4,1394
PDZD2,4,1394.5
AC007773.1,4,1397
ANKS6,4,1397
UBE2L5,4,1401.5
TBX6,4,1402.5
GLRX,4,1404
AC106782.1,4,1409.5
